stationId,nom,latitude,longitude,Élévation,Date,PM,O3,NO2,SO2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-15,5,21,3,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-16,12,22,7,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-16,7,25,3,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-17,28,20,7,26
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-17,23,25,8,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-18,21,19,6,32
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-18,22,22,9,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-19,12,21,8,44
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-19,7,23,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-20,46,21,11,10
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-20,40,12,,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-21,37,22,10,31
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-21,50,25,9,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-22,26,24,10,2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-22,17,20,10,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-23,10,24,6,1
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-23,4,26,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-24,15,19,6,13
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-24,8,22,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-25,36,22,10,11
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-25,21,24,12,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-26,42,26,11,6
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-26,26,21,12,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-27,35,24,12,7
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-27,41,17,13,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-02-28,35,21,11,8
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-02-28,22,22,10,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-01,28,23,10,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-01,15,18,12,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-02,7,24,3,2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-02,16,21,11,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-03,15,24,7,8
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-03,19,28,10,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-04,11,22,5,6
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-04,11,25,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-05,13,23,9,15
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-05,10,25,8,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-06,10,16,6,13
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-06,9,20,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-07,16,21,8,18
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-07,14,24,10,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-08,13,22,6,7
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-08,8,24,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-09,32,23,9,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-09,27,21,12,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-10,58,22,11,14
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-10,46,20,11,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-11,55,21,7,32
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-11,37,24,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-12,22,21,9,19
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-12,10,27,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-13,15,16,10,19
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-13,14,21,13,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-14,43,14,12,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-14,55,10,16,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-15,21,21,7,6
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-15,8,21,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-16,8,23,2,2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-16,11,23,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-17,6,23,3,2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-17,8,25,3,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-18,5,24,4,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-18,4,27,2,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-19,15,23,9,91
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-19,10,27,8,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-20,14,19,6,17
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-20,11,23,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-21,9,25,5,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-21,14,27,11,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-22,38,18,9,12
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-22,28,30,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-23,20,18,7,11
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-23,24,21,8,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-24,16,20,7,2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-24,21,19,9,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-25,12,26,4,6
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-25,16,27,9,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-26,23,16,8,4
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-26,27,16,10,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-27,26,12,7,9
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-27,23,16,8,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-28,4,26,3,1
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-28,5,29,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-29,10,26,10,1
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-29,6,29,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-30,12,26,9,13
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-30,7,28,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-03-31,10,28,5,6
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-03-31,12,28,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-01,22,28,9,12
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-01,17,30,11,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-02,15,24,7,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-02,11,26,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-03,16,10,7,7
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-03,10,14,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-04,13,21,3,1
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-04,9,20,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-05,9,19,7,8
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-05,4,21,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-06,8,10,4,7
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-06,6,13,2,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-07,8,13,3,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-07,6,16,3,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-08,8,15,2,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-08,7,17,2,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-09,6,19,4,9
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-09,3,21,2,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-10,8,23,4,2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-10,10,25,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-11,8,25,7,2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-11,10,23,8,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-12,9,23,6,4
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-12,12,19,10,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-13,16,25,5,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-13,14,23,9,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-14,13,28,7,4
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-14,9,25,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-15,17,27,8,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-15,13,26,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-16,8,29,2,4
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-16,9,28,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-17,8,29,3,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-17,9,28,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-18,9,30,2,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-18,10,29,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-19,11,33,6,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-19,15,32,12,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-20,20,32,10,12
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-20,22,34,11,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-21,23,37,10,6
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-21,18,35,13,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-22,33,36,9,15
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-22,26,37,12,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-23,40,44,10,18
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-23,29,46,11,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-24,35,27,6,7
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-24,19,34,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-25,9,27,7,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-25,10,30,10,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-26,30,25,10,4
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-26,19,31,11,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-27,10,23,5,2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-27,11,24,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-28,12,20,3,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-28,23,15,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-29,14,19,6,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-29,12,19,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-04-30,14,18,6,10
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-04-30,8,24,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-01,7,23,5,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-01,5,26,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-02,10,24,5,2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-02,8,27,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-03,6,24,5,1
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-03,6,27,8,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-04,7,25,5,1
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-04,6,28,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-05,10,26,3,8
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-05,7,28,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-06,12,28,8,8
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-06,12,31,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-07,17,30,8,27
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-07,13,33,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-08,26,39,8,12
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-08,22,44,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-09,41,52,9,21
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-09,34,46,8,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-10,36,46,13,8
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-10,39,45,13,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-11,29,31,6,7
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-11,26,35,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-12,7,27,3,2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-12,6,29,2,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-13,9,27,7,1
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-13,7,30,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-14,11,27,7,15
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-14,7,31,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-15,21,24,7,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-15,23,28,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-16,14,23,4,2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-16,17,24,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-17,6,24,3,1
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-17,7,25,9,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-18,10,21,6,7
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-18,10,19,9,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-19,,31,7,6
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-19,19,33,8,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-20,,23,6,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-20,19,24,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-21,,25,4,1
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-21,5,27,3,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-22,,37,5,4
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-22,16,33,9,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-23,,35,12,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-23,17,37,10,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-24,,58,10,13
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-24,53,53,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-25,,53,10,24
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-25,69,54,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-26,,27,3,7
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-26,41,34,3,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-27,,23,3,6
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-27,14,22,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-28,,20,5,13
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-28,22,22,3,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-29,,25,4,12
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-29,8,26,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-30,,18,6,24
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-30,18,20,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-05-31,,9,4,2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-05-31,24,10,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-06-01,,21,6,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-06-01,27,23,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-06-02,,25,5,6
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-06-02,20,37,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-06-03,,25,6,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-06-03,25,33,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-06-04,,20,4,4
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-06-04,8,24,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-06-05,,19,9,8
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-06-05,18,26,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-06-06,,19,4,7
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-06-06,5,22,4,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-06-07,,17,6,2
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-06-07,8,18,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-06-08,,47,10,3
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-06-08,45,43,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-06-09,,28,8,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-06-09,25,36,3,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-06-10,,35,6,4
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-06-10,20,40,5,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-06-11,,28,9,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-06-11,25,32,7,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-06-12,,32,8,5
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-06-12,27,36,6,
3,Saint-Jean-Baptiste ,45.641026,-73.499682,19,2007-06-13,,24,4,4
66,Aéroport de Montréal,45.468297,-73.741185,33,2007-06-13,21,25,5,
